,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Tomato___Bacterial_spot,288,0,1,1,11,0,17,1,0,0
Tomato___Early_blight,2,121,5,1,2,3,13,0,0,3
Tomato___Late_blight,0,3,274,1,1,1,3,0,0,4
Tomato___Leaf_Mold,0,0,2,135,0,3,3,0,0,0
Tomato___Septoria_leaf_spot,0,4,2,0,251,1,5,0,0,3
Tomato___Spider_mites Two-spotted_spider_mite,0,0,0,0,0,223,16,0,0,13
Tomato___Target_Spot,0,0,0,0,2,0,193,0,0,15
Tomato___Tomato_Yellow_Leaf_Curl_Virus,16,0,1,5,0,15,10,757,0,0
Tomato___Tomato_mosaic_virus,0,0,0,0,0,2,0,0,53,1
Tomato___healthy,0,0,0,0,0,0,1,0,0,237
