image_path,label
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\115c36f2-2c97-4a9a-a091-3c6e976a5e79___UF.GRC_YLCV_Lab 01829.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\1d8627f3-55b7-46c6-8cae-af9737f11f79___UF.GRC_YLCV_Lab 02472.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\8c5d2176-74cd-443e-a1a3-3077b397463b___UF.GRC_YLCV_Lab 01929.JPG,7
dataset/tomato\Tomato___Septoria_leaf_spot\691351f3-04bb-445b-9284-9afc990c4876___JR_Sept.L.S 2645.JPG,4
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\9bbf5b8a-6a57-4e96-86d6-fd64be111993___UF.GRC_YLCV_Lab 01462.JPG,7
dataset/tomato\Tomato___Bacterial_spot\a8c12fae-22eb-46c8-a7dc-374225d050ba___GCREC_Bact.Sp 3122.JPG,0
dataset/tomato\Tomato___Late_blight\914b2040-5c4b-4943-be32-1c565d9c49ec___GHLB2 Leaf 72.1.JPG,2
dataset/tomato\Tomato___Septoria_leaf_spot\2567c820-aa63-490c-8e47-921b85164728___Matt.S_CG 7447.JPG,4
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\11fce96d-194a-473b-b982-9ec7e2b8d092___YLCV_GCREC 2083.JPG,7
dataset/tomato\Tomato___Bacterial_spot\5c862bf1-ab62-4106-bdca-6b22a1951dca___GCREC_Bact.Sp 3860.JPG,0
dataset/tomato\Tomato___Septoria_leaf_spot\f28887f1-73b5-495e-ab6a-728780ae5bd1___Matt.S_CG 7691.JPG,4
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\d44e8a78-33f7-48ae-907a-ba5f08ae9fa5___YLCV_GCREC 2118.JPG,7
dataset/tomato\Tomato___Late_blight\b68b50e0-52b1-4ba0-98df-8080ffaf3a70___GHLB_PS Leaf 26 Day 16.jpg,2
dataset/tomato\Tomato___Target_Spot\eba3f367-1dc3-428c-b1dc-fc007ee55f9f___Com.G_TgS_FL 0645.JPG,6
dataset/tomato\Tomato___healthy\66778100-7006-4592-9704-90ea0d7131dd___RS_HL 9740.JPG,9
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\4969b537-458d-482d-b83c-a0945f137dc4___YLCV_GCREC 5351.JPG,7
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\bbcc32ff-ab32-40bf-8c4f-35ed59740717___Com.G_SpM_FL 9255.JPG,5
dataset/tomato\Tomato___healthy\014b5e19-7917-4d76-b632-b5dd31d999ec___RS_HL 9640.JPG,9
dataset/tomato\Tomato___Target_Spot\eb5f70b3-7bc8-4b2b-b2c3-26389d0ffc2f___Com.G_TgS_FL 0044.JPG,6
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\ac9e49c7-e50f-4f54-a81c-284b39e937be___UF.GRC_YLCV_Lab 01978.JPG,7
dataset/tomato\Tomato___Septoria_leaf_spot\7d028ea6-331d-42ea-ad79-7a7a0d9149c6___Matt.S_CG 7720.JPG,4
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\0d84c5c2-beed-4122-898f-db2ca354de95___YLCV_GCREC 1914.JPG,7
dataset/tomato\Tomato___healthy\b842ca3c-1910-4ff3-8691-c7759830651a___RS_HL 9784.JPG,9
dataset/tomato\Tomato___Septoria_leaf_spot\a8b5f14e-661f-44dc-b947-0b2130e313a1___Matt.S_CG 6878.JPG,4
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\011e0c03-244b-4a90-b087-dececd2828fa___YLCV_NREC 2785.JPG,7
dataset/tomato\Tomato___healthy\9e43d49b-abbe-4b9b-8566-42586a58a705___RS_HL 0462.JPG,9
dataset/tomato\Tomato___Leaf_Mold\8faa0c7e-33cd-43cd-8e71-bd9d19ba8e9f___Crnl_L.Mold 6763.JPG,3
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\a64ad298-f59c-4111-b66a-756a6890665f___YLCV_NREC 2432.JPG,7
dataset/tomato\Tomato___healthy\28200010-ba2b-41f7-9dff-94d86019488e___GH_HL Leaf 366.JPG,9
dataset/tomato\Tomato___healthy\b3ff240c-bcdd-4926-9e87-c515cd6c2971___GH_HL Leaf 409.JPG,9
dataset/tomato\Tomato___Late_blight\c0267369-b9ec-471e-b8a2-9aa3fc77b3c1___GHLB2 Leaf 9028.JPG,2
dataset/tomato\Tomato___Early_blight\89e7a492-7347-4659-ac0b-2df664ed4c80___RS_Erly.B 8438.JPG,1
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\d78615aa-debd-4e88-885d-947beb782e96___YLCV_NREC 2411.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\89342400-1fb6-4438-a128-7eecb1ec7c21___UF.GRC_YLCV_Lab 09565.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\be2f2c8c-031d-47e5-941c-af5f17b5a310___YLCV_NREC 2740.JPG,7
dataset/tomato\Tomato___Bacterial_spot\65e45c3c-449c-4c54-a841-47cd660ed9f1___GCREC_Bact.Sp 6160.JPG,0
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\d8720cd3-297c-4914-9088-bfd7743db455___UF.GRC_YLCV_Lab 09581.JPG,7
dataset/tomato\Tomato___Bacterial_spot\a0b883b2-3c90-41f0-a3fa-b47eac1f5812___UF.GRC_BS_Lab Leaf 9013.JPG,0
dataset/tomato\Tomato___Late_blight\d373ae28-23fa-48ac-9745-7b9f405698d5___RS_Late.B 5391.JPG,2
dataset/tomato\Tomato___Bacterial_spot\eb2eebd9-62f0-441c-908f-1ff90f36bb66___GCREC_Bact.Sp 5752.JPG,0
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\9e47681f-6ec2-4f8e-aa01-4196793565e4___UF.GRC_YLCV_Lab 03328.JPG,7
dataset/tomato\Tomato___Septoria_leaf_spot\9b1c7c43-4440-48e8-8a28-02f78ab73588___JR_Sept.L.S 8424.JPG,4
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\0792af40-147c-400a-84e6-a0eeb25ac381___Com.G_SpM_FL 9381.JPG,5
dataset/tomato\Tomato___Bacterial_spot\4c24021e-90e2-4b84-89c2-c904dc8bb0b4___GCREC_Bact.Sp 5706.JPG,0
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\e7749a38-a2f7-494d-ba1b-4a46272db1a1___UF.GRC_YLCV_Lab 03297.JPG,7
dataset/tomato\Tomato___Target_Spot\92168909-1d87-47af-9326-5a94171e45f2___Com.G_TgS_FL 8408.JPG,6
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\7c34e58a-5d8a-4da8-b3c0-843a1bf64584___YLCV_GCREC 1943.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\0fcbc9ec-8e9b-4a39-8204-a0a04c6f906f___UF.GRC_YLCV_Lab 09421.JPG,7
dataset/tomato\Tomato___Late_blight\07cca2ca-6b0f-4322-8779-beb94bc219b0___RS_Late.B 6037.JPG,2
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\0794d252-5524-49d2-9871-011677db2698___Com.G_SpM_FL 8571.JPG,5
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\8b86b5db-2e9c-4fea-ae82-8aae2b3e4e7f___UF.GRC_YLCV_Lab 03235.JPG,7
dataset/tomato\Tomato___Late_blight\116c7fc2-8443-40b7-a8c0-9619e3e46f08___GHLB2 Leaf 8797.JPG,2
dataset/tomato\Tomato___healthy\b923ed54-63ad-49f8-8881-ebd654c5821c___RS_HL 0359.JPG,9
dataset/tomato\Tomato___Septoria_leaf_spot\7acd10ed-a101-4467-856a-f3483493182a___Keller.St_CG 1862.JPG,4
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\29f63a5e-06f8-48bd-a753-0ca7bc927ea6___UF.GRC_YLCV_Lab 09621.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\3fd0b775-f9e3-4f35-96e0-cd75d9aae7de___UF.GRC_YLCV_Lab 09525.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\0be8de3c-4851-46ec-86d9-65688d4aad7f___YLCV_NREC 2410.JPG,7
dataset/tomato\Tomato___Septoria_leaf_spot\d2d13290-3e84-4c25-adcf-aa68bc6d70ba___Matt.S_CG 7630.JPG,4
dataset/tomato\Tomato___Bacterial_spot\6fba21aa-5e08-4072-af5c-1ffb9cf67c92___GCREC_Bact.Sp 5551.JPG,0
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\00576ef6-6fa0-40d2-b365-87850597bafd___UF.GRC_YLCV_Lab 01999.JPG,7
dataset/tomato\Tomato___Bacterial_spot\945f1d4c-7a9f-48e0-98a5-da3e2976077a___GCREC_Bact.Sp 3368.JPG,0
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\40928b95-6a82-4757-85e1-98d3930f1512___UF.GRC_YLCV_Lab 02076.JPG,7
dataset/tomato\Tomato___Late_blight\382cc2c9-3ac9-444d-9638-72ab527ac1b9___RS_Late.B 6711.JPG,2
dataset/tomato\Tomato___Late_blight\804a100c-1ef1-4178-9c2f-7468bcb484f3___GHLB2 Leaf 88.JPG,2
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\3d06d27e-cfea-40b4-ac55-9e0dc96f6b55___Com.G_SpM_FL 8596.JPG,5
dataset/tomato\Tomato___Bacterial_spot\09442ca2-e279-4937-8ba0-faa85901f199___GCREC_Bact.Sp 5643.JPG,0
dataset/tomato\Tomato___Early_blight\45d27217-fbb3-4b74-93e7-d84f70b784f8___RS_Erly.B 7713.JPG,1
dataset/tomato\Tomato___Early_blight\f88be630-f853-48f8-b546-a2f7966368a2___RS_Erly.B 7418.JPG,1
dataset/tomato\Tomato___Target_Spot\96630998-2348-43ab-856e-34fe02398463___Com.G_TgS_FL 8227.JPG,6
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\1981f6de-4c64-4c11-b78c-ac52b12b76a4___UF.GRC_YLCV_Lab 09414.JPG,7
dataset/tomato\Tomato___Leaf_Mold\dc84eefb-f6bf-4978-a58a-d11f1ed0b26f___Crnl_L.Mold 9125.JPG,3
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\2e1daff5-2bc2-4c45-8563-7c6a7a929ddf___Com.G_SpM_FL 9261.JPG,5
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\4529e518-1c63-4772-b364-16d090024c02___YLCV_GCREC 2758.JPG,7
dataset/tomato\Tomato___healthy\82b63dfc-d0b6-4bb3-afc4-db8d61476b10___GH_HL Leaf 415.JPG,9
dataset/tomato\Tomato___Target_Spot\5ce0b479-d41a-48e0-8615-e6421bff0cbd___Com.G_TgS_FL 9872.JPG,6
dataset/tomato\Tomato___Leaf_Mold\28fc4b35-8b20-4bd0-8e41-c1ef7093ff33___Crnl_L.Mold 6755.JPG,3
dataset/tomato\Tomato___Septoria_leaf_spot\8fdc83d8-f6f8-481d-bd09-e1baecddc6cf___JR_Sept.L.S 2611.JPG,4
dataset/tomato\Tomato___Early_blight\22247648-1650-43d5-8a9b-e03f63cf2f1c___RS_Erly.B 7535.JPG,1
dataset/tomato\Tomato___Early_blight\f7065117-14b1-44f1-b9ec-953b61fd3368___RS_Erly.B 9544.JPG,1
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\87226c34-d7bf-4767-afdc-8a56cf45586a___YLCV_NREC 2380.JPG,7
dataset/tomato\Tomato___Bacterial_spot\5e1bc867-05f6-4749-af57-60a73435bba2___GCREC_Bact.Sp 6027.JPG,0
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\a69b0a6f-e1ce-4125-8a61-4836c3ea2cb1___UF.GRC_YLCV_Lab 09547.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\37c2cc81-0d24-4030-9f76-399c29561b3f___UF.GRC_YLCV_Lab 02512.JPG,7
dataset/tomato\Tomato___Early_blight\c410d512-4708-49dd-ba8f-efce2796a3f5___RS_Erly.B 7602.JPG,1
dataset/tomato\Tomato___Tomato_mosaic_virus\faaab5c4-517e-4417-b471-fa1d762e35c4___PSU_CG 2173.JPG,8
dataset/tomato\Tomato___Late_blight\c18f749d-9774-43f6-9c27-ff3d532f551a___RS_Late.B 7100.JPG,2
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\2115630a-7a72-4865-a218-3a70142d360c___UF.GRC_YLCV_Lab 08471.JPG,7
